,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
30,Thu Chia's Shiraz,Helig birma (SBI),,Hane,brunmaskad (n),(SE)SVERAK LO 20908,,(SE)SVERAK LO 14008,(SE)SVERAK LO 20008
31,Praha Addy,Helig birma (SBI),1974-04-12,Hona,brunmaskad (n),(GB)GCCF NS 012415  (SE)SVERAK LO 20059,,(GB)GCCF OS 218288,(GB)GCCF OS 204777
32,Smokeyhill Lah Ling,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 218872,,(GB)GCCF OS 208747 *IMP-D,(GB)GCCF OS 189362
33,Smokeyhill Leona Chinka,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 189362,CH,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 152947
34,Sinh Saga-Ell af Silverbäcken,Helig birma (SBI),1969-06-20,Hona,brunmaskad (n),(SE)SVERAK LO 12803,,(SE)SVERAK LO 12311,(SE)SVERAK RX 12312
35,Salwana Alpha,Helig birma (SBI),,Hane,brunmaskad (n),(GB)GCCF NS 012803,,(GB)GCCF OS 161638,(GB)GCCF OS 218872
36,Smokeyhill Ming Tah,Helig birma (SBI),,Hona,brunmaskad (n),(GB)GCCF OS 241704,,(GB)GCCF OS 208747 *IMP-D,(GB)GCCF OS 189362
37,Chinospin's Minh Thodin,Helig birma (SBI),1970-06-15,Hane,blåmaskad (a),(SE)SVERAK LO 14581,IC,(SE)SVERAK LO 14140,(SE)SVERAK LO 12803
38,Solstadens Blue Asahina,Helig birma (SBI),1970-10-26,Hona,blåmaskad (a),(SE)SVERAK LO 14803,CH,(SE)SVERAK LO 14008,(SE)SVERAK LO 12316
39,Salwana Chetu,Helig birma (SBI),1975-02-24,Hane,brunmaskad (n),(GB)GCCF NS 023118  (SE)SVERAK LO 20936,IC,(GB)GCCF NS 012803,(GB)GCCF OS 241704
40,Hassellidens Cindra,Helig birma (SBI),1973-08-07,Hona,blåmaskad (a),(SE)SVERAK LO 18480,,(SE)SVERAK LO 14581,(SE)SVERAK LO 14803
