,Name,Breed,Birth,Gender,Fur,Number
0,Grusbackens Olivia-Isabella,Russian blue (RUS),1982-08-28,Hona,blå (x),(SE)SVERAK LO 35611
1,Gustavias Alexandra,Russian blue (RUS),1976-11-19,Hona,(x),(SE)SVERAK LO 25237
2,Sylphides Mareshkova,Russian blue (RUS),1964-01-27,Hona,(x),(GB)GCCF OS 127558  (SE)SVERAK LO 7176
3,Grusbackens Olivia-Isabella,Russian blue (RUS),1982-08-28,Hona,blå (x),(SE)SVERAK LO 35611
4,Gustavias Alexandra,Russian blue (RUS),1976-11-19,Hona,(x),(SE)SVERAK LO 25237
5,Sylphides Mareshkova,Russian blue (RUS),1964-01-27,Hona,(x),(GB)GCCF OS 127558  (SE)SVERAK LO 7176
